bionicx-exec: running untraced pid=27093
libfontenc1:arm64	1:1.1.8-1+b2	installed
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1	installed
libfreexl1:arm64	2.0.0-1+b3	installed
libfribidi0:arm64	1.0.16-1	installed
libfyba0t64:arm64	4.1.1-11+b1	installed
libgav1-1:arm64	0.19.0-3+b1	installed
libgbm1:arm64	25.0.7-2+deb13u1	installed
libgc1:arm64	1:8.2.8-1	installed
libgcc-s1:arm64	14.2.0-19	installed
libgcrypt20:arm64	1.11.0-7+deb13u1	installed
libgd3:arm64	2.3.3-14~deb13u1	installed
libgdal36:arm64	3.10.3+dfsg-1	installed
libgdbm6t64:arm64	1.24-2	installed
libgdcm3.0t64:arm64	3.0.24-5+b3	installed
libgdk-pixbuf-2.0-0:arm64	2.42.12+dfsg-4+deb13u1	installed
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1	installed
libgegl-0.4-0t64:arm64	1:0.4.62-2+deb13u2	installed
libgegl-common	1:0.4.62-2+deb13u2	installed
libgeos-c1t64:arm64	3.13.1-1	installed
libgeos3.13.1:arm64	3.13.1-1	installed
libgeotiff5:arm64	1.7.4-1	installed
libgexiv2-2:arm64	0.14.3-1+b1	installed
libgfortran5:arm64	14.2.0-19	installed
libgif7:arm64	5.2.2-1+deb13u1	installed
libgimp-3.0-0:arm64	3.0.4-3+deb13u9	installed
libgirepository-1.0-1:arm64	1.84.0-1	installed
libgl1:arm64	1.7.0-1+b2	installed
libgl1-mesa-dri:arm64	25.0.7-2+deb13u1	installed
libgles2:arm64	1.7.0-1+b2	installed
libglib2.0-0t64:arm64	2.84.4-3~deb13u3	installed
libglibmm-2.4-1t64:arm64	2.66.8-1	installed
libglu1-mesa:arm64	9.0.2-1.1+b3	installed
libglvnd0:arm64	1.7.0-1+b2	installed
libglx-mesa0:arm64	25.0.7-2+deb13u1	installed
libglx0:arm64	1.7.0-1+b2	installed
libgme0:arm64	0.6.3-7+b2	installed
libgmp10:arm64	2:6.3.0+dfsg-3	installed
libgnome-desktop-3-20t64:arm64	44.3-3	installed
libgnutls30t64:arm64	3.8.9-3+deb13u4	installed
libgomp1:arm64	14.2.0-19	installed
libgpg-error0:arm64	1.51-4	installed
libgpgme11t64:arm64	1.24.2-3	installed
libgpgmepp6t64:arm64	1.24.2-3	installed
libgpm2:arm64	1.20.7-11+b2	installed
libgprofng0:arm64	2.44-3	installed
libgraphite2-3:arm64	1.3.14-2+deb13u1	installed
libgs-common	10.05.1~dfsg-1+deb13u1	installed
libgs10:arm64	10.05.1~dfsg-1+deb13u1	installed
libgs10-common	10.05.1~dfsg-1+deb13u1	installed
libgsl28:arm64	2.8+dfsg-5	installed
libgslcblas0:arm64	2.8+dfsg-5	installed
libgsm1:arm64	1.0.22-1+b2	installed
libgspell-1-3:arm64	1.14.0-2+b1	installed
libgspell-1-common	1.14.0-2	installed
libgssapi-krb5-2:arm64	1.21.3-5+deb13u1	installed
libgstreamer-plugins-base1.0-0:arm64	1.26.2-1+deb13u1	installed
libgstreamer1.0-0:arm64	1.26.2-2	installed
libgtk-3-0t64:arm64	3.24.49-3	installed
libgtk-3-common	3.24.49-3	installed
libgtkmm-3.0-1t64:arm64	3.24.10-1	installed
libgtksourceview-4-0:arm64	4.8.4-6	installed
libgtksourceview-4-common	4.8.4-6	installed
libgts-0.7-5t64:arm64	0.7.6+darcs121130-5.2+b1	installed
libgudev-1.0-0:arm64	238-6	installed
libgvc6	2.42.4-3	installed
libgvpr2:arm64	2.42.4-3	installed
libgxps2t64:arm64	0.3.2-4+b2	installed
libhandy-1-0:arm64	1.8.3-2	installed
libharfbuzz-gobject0:arm64	10.2.0-1+deb13u1	installed
libharfbuzz-icu0:arm64	10.2.0-1+deb13u1	installed
libharfbuzz0b:arm64	10.2.0-1+deb13u1	installed
libhdf4-0-alt:arm64	4.3.0-1+b1	installed
libhdf5-310:arm64	1.14.5+repack-3	installed
libhdf5-hl-310:arm64	1.14.5+repack-3	installed
libheif-plugin-dav1d:arm64	1.19.8-1+deb13u1	installed
libheif-plugin-libde265:arm64	1.19.8-1+deb13u1	installed
libheif1:arm64	1.19.8-1+deb13u1	installed
libhogweed6t64:arm64	3.10.1-1	installed
libhunspell-1.7-0:arm64	1.7.2+really1.7.2-10+b4	installed
libhwloc15:arm64	2.12.0-4	installed
